experiment,case,instance_class,N,target_kappa,actual_kappa,eps_target,seed,certify_terminal,certificate_tol,effective_terminal_eps,total_iters,fwd_phases,rev_phases,runtime_sec,matched_pairs,object_terminal_certificate_passed_warm,terminal_certificate_passed_warm,terminal_fallback_used,cs_violation,feasible,outside_i_exact_error,outside_j_exact_error,outside_i_upper_ok,outside_j_upper_ok,matched_pair_error,object_terminal_certificate_passed_final,terminal_certificate_passed_final,full_equilibrium_diagnostic_passed
baseline,TU,TU,50,1,1.0,1e-05,2,True,0.0,1e-05,350,13,11,0.024482249980792403,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,3,True,0.0,1e-05,325,13,11,0.02198166702874005,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,4,True,0.0,1e-05,248,13,11,0.01702929101884365,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,5,True,0.0,1e-05,223,13,11,0.015141834039241076,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,6,True,0.0,1e-05,382,13,11,0.026177542051300406,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,7,True,0.0,1e-05,261,13,11,0.017688042018562555,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,8,True,0.0,1e-05,212,13,11,0.01501829200424254,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,9,True,0.0,1e-05,408,13,11,0.027172249974682927,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,10,True,0.0,1e-05,265,13,11,0.018016457790508866,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,11,True,0.0,1e-05,266,13,11,0.018077125074341893,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,12,True,0.0,1e-05,239,13,11,0.016897832974791527,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,13,True,0.0,1e-05,228,13,11,0.01643024990335107,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,14,True,0.0,1e-05,369,13,11,0.025005165953189135,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,15,True,0.0,1e-05,307,13,11,0.020610583014786243,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,16,True,0.0,1e-05,301,13,11,0.02078054193407297,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,17,True,0.0,1e-05,346,13,11,0.023038000101223588,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
